abide by,follow
able seaman,ordinary sailor
abominable snowman,yeti
about time,right time
all the time,always
any time now,very soon
any time soon,soon
above and beyond,more than expect
at this point in time,right now
above board,honestly
above one's bend,out of control
ace in a hole,unreveal advantage
abut on,border on
ache for,desire
achilles' heel,weakness
act one's age,be mature
a cut above,superior to
a cut below,inferior to
adams ale,water
ad hoc,done if necessary
after all,in the end
all at once,at the same time
all clear,permission to proceed
all in all,everything considered
all of the sudden,suddenly
all over,complete
around the corner,imminent
baby blues,blue eyes
back in the day,in the past
bad blood,inherited immoral
behind the time,out of date
behind bars,prison
behind someone's back,secretly
behind somebody's back,secretly
bells and whistles,extra features for showing
behind time,late
bend over backwards,To make a?reat?ffort
be of two minds,unsure
beside oneself,overcome
be there for,support
bird's-eye view,direct view
black and blue,covered in bruises
blind leading the blind,Situation where an unqualified person is attempting to train others in a task
blink of an eye,quickly
blow one's chances,forfeit opportunities
bottoming the house,clean the entire house
bowl a googly,something unexpected
brain-dead,stupid
brick by brick ,step by step
bros before hoes,priotize male friends over girlfriends
buff the muffin,masturbate
by the by,incidentally
by and large,mostly
by no means,certainly not
by the time,when
by the way,incidentally
call the shots,make decision
car boot sales,selling event
carrot and stick,rewards for good behavior and punish for bad behavior
carry coals to new castle,do something unneeded
carry one's weight,produce one's fair share
case in point,a good example
castle in the air,a day-dream
cat and dog life,unhappy married life
cat in the sack,something suspicious
chase a rainbow,pursue something illusory
cold hands warm heart,inner beauty
come full circle,make a complete change
covenant of salt,long-lasting agreement
crack a crib,break into a house
crack of dawn,sunrise
cross my heart,a declaration that speaker is telling the truth
dark horse,unexpected success
day and age,a time period of years
day and night,all the time
day in day out,daily
dead giveaway,obvious
dead of night,middle of night
den of iniquity,place of immoral behavior
drag's one feet,make progress slowly
dyed in the wool,permanent
eager beaver,who is very exicited to begin a task
keep an eye on,to watch
end of the world,changes that seems catastrophic 
enough is enough,satisfied and should be no more
experience is the best teacher,Lessons learned from experience are the most lasting
every which way,in all sorts of ways
faith will move mountain,Belief in oneself can help overcome any hurdle in life
false step,an erroneous decision
far and away,greatly
fare thee well,farewell
far fetched,impropable
first come first served,dealt with in the order they arrive
first of all,Firstly
from cover to cover,all the way to the last page
from time to time,ocassionally
have a good time,enjoy oneself
get a jump on,start early
give or take,approximately
go along with,accept or tolerate
