do a big deal,deal
do a bizarre dance,dance
do a brisk trade,trade
do a clothe switch,switch
do a community work,work
do a complete rehearsal,rehearse
do a comprehensive study,study
do a dance,dance
do a deal,deal
do a deep dive,dive
do a demonstration,present
do a dip,dip
do a display,exhibit
do a diy work,work
do a european tour,enlist
do a final check,check
do a final tour,enlist
do a first talk,talk
do a full analysis,analyze
do a gallium arsenide implementation,implement
do a good job,job
do a good performance,perform
do a good presentation,present
do a good service,service
do a group collaboration,collaborate
do a job,job
do a knee bend policeman act,act
do a laborious review,review
do a little more research,research
do a local search,search
do a mile walk,walk
do a more harm,harm
do a news release,release
do a patrol,patrol
do a picture,depict
do a pilot run,run
do a play,play
do a plot,plot
do a repeat performance,perform
do a report,report
do a research,research
do a review,review
do a revision,revise
do a small frail mime,pantomime
do a study,study
do a survey,survey
do a talk,talk
do a terrible act,act
do a tour,enlist
do a trade,trade
do a very brief survey,survey
do a voodoo dance,dance
do all the cooking,cook
do all the hard work,work
do all the research,research
do all the trade,trade
do all the work,work
do an act,act
do an advertisement,advertise
do an awkward shuffle,shuffle
do an eastern european tour,enlist
do an exhibition ride,drive
do an implementation,implement
do an internal notice,observe
do an interview,interview
do an opinion poll,poll
do an usual twirl,twist
do any damage,harm
do any deal,deal
do any harm,harm
do any irrevocable damage,harm
do any management,manage
do any market research,research
do any other act,act
do any permanent harm,harm
do any real work,work
do any service,service
do any war work,work
do any work,work
do as much damage,harm
do as much harm,harm
do as much maintenance,maintain
do astronomical research,research
do basic research,research
do battle,struggle
do clerical work,work
do combat,fight
do considerable damage,harm
do damage,harm
do design,design
do development,develop
do education,educate
do excellent work,work
do expert research,research
do extra magistrate work,work
do forefront work,work
do good research,research
do good work,work
do great harm,harm
do half work,work
do hard physical work,work
do harm,harm
do incalculable damage,harm
do interpretation,interpret
do less harm,harm
do little harm,harm
do little long term damage,harm
do little research,research
do long term research,research
do military service,service
do miserable work,work
do more harm,harm
do more research,research
do more shopping,shop
do more work,work
do much harm,harm
do no harm,harm
do no manual work,work
do no other work,work
do no work,work
do other work,work
do own research,research
do page makeup,make_up
do profound damage,harm
do research,research
do serious acting,act
do serious damage,harm
do shop work,work
do shopping,shop
do similar work,work
do some adaptation,adapt
do some damage,harm
do some irreparable harm,harm
do some market research,research
do some more work,work
do some research,research
do some revision,revise
do some session work,work
do some shopping,shop
do some thinking,think
do some very detailed work,work
do some work,work
do some writing,write
do stupendous work,work
do subtraction,subtract
do such incredible work,work
do temporary work,work
do that journey,journey
do the attack,attack
do the background work,work
do the booking,book
do the briefing,brief
do the calculation,calculate
do the cooking,cook
do the damage,harm
do the dance,dance
do the estimate,estimate
do the exercise,exercise
do the expansion,enlarge
do the experiment,experiment
do the film,film
do the full service,service
do the gardening,garden
do the hard work,work
do the high jump,jump
do the implementation,implement
do the interview,interview
do the market analysis,analyze
do the monthly wash,wash
do the necessary work,work
do the occasional recording,record
do the own shopping,shop
do the performance,perform
do the presentation,present
do the recording,record
do the register,register
do the report,report
do the restoration,restore
do the robbery,rob
do the run practice,practice
do the shopping,shop
do the substitution,substitute
do the switch,switch
do the turn,turn
do the walk,walk
do the work,work
do the yard work,work
do this exercise,exercise
do this initial work,work
do this smart dance,dance
do translation,translate
do untold damage,harm
do very simple relaxation,relax
do very special work,work
do work,work
get a budget,budget
get a call,call
get a close look,look
get a correct fit,fit
get a generous mention,mention
get a grip,grip
get a job,job
get a look,look
get a meeting,meet
get a sight,sight
get a thrill,thrill
get a video,televise
get a well look,look
get abuse,abuse
get access,access
get agreement,agree
get an infection,infect
get break,break
get clean possession,possess
get control,control
get hold,hold
get promotion,promote
get relief,ease
get secure trade,trade
get shower,shower
get sleep,sleep
get some glimpse,glimpse
get some relief,ease
get some sleep,sleep
get the appropriate sanction,sanction
get the feel,feel
get the feeling,feel
get the great profit,profit
get the promotion,promote
get the push,push
get this reconciliation,reconcile
get unprecedented praise,praise
get use,use
get widespread coverage,cover
get work,work
give a boost,boost
give a break,break
give a brief review,review
give a concession,concede
give a demand,demand
give a demo,demonstrate
give a description,describe
give a fair description,describe
give a first preference vote,vote
give a good account,report
give a good approximation,estimate
give a good finish,finish
give a good grip,grip
give a hint,hint
give a hug,hug
give a lecture,lecture
give a less doctrinaire justification,justify
give a little help,help
give a little thought,think
give a massage,massage
give a mighty roar,roar
give a performance,perform
give a reduction,reduce
give a rest,rest
give a rueful smile,smile
give a scream,scream
give a sentence,sentence
give a shout,shout
give a significant boost,boost
give a similar interpretation,interpret
give a soft look,look
give a sound performance,perform
give a speech,speak
give a summary,summarize
give a talk,talk
give a twist smile,smile
give a verbal response,reply
give an adequate account,report
give an almighty push,push
give an elaborate account,report
give an expansive smile,smile
give an indication,indicate
give an injection,inject
give an instruction,educate
give an involuntary cry,cry
give an outline,outline
give analysis,analyze
give any recognition,realise
give any serious consideration,consider
give any thought,think
give clearance,clear
give complete support,support
give consent,consent
give effect,result
give encouragement,encourage
give expression,express
give fair coverage,cover
give final approval,commend
give great emphasis,accentuate
give information,inform
give informed consent,consent
give insufficient emphasis,accentuate
give little lecture,lecture
give no more active support,support
give official recognition,realise
give permission,permit
give positive thought,think
give promise,promise
give rise,rise
give some cheer,cheer
give some indication,indicate
give some protection,protect
give support,support
give the clenched fist salute,salute
give the correction,rectify
give the encouragement,encourage
give the follow information,inform
give thought,think
give walk,walk
have a bath,bath
have a boarding need,need
have a care,care
have a choice,pick
have a close look,look
have a devastating effect,result
have a dinner,dine
have a direct impact,impact
have a discussion,discuss
have a drawing,draw
have a exam,examine
have a feeling,feel
